,name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Litter Size,Predators,Type,Distinctive Feature,Temperament,Training,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Favorite Food,Origin,Optimum pH Level,Migratory,Special Features,Optimum PH Level
884,Kerry Blue Terrier,,,,"They are born black, and turn gray-blue as they age.",,,,,,,Omnivore,,,,,,,,,,,,Smart and loyal,,,,,,,,,,,,,,,,
885,Kestrel,"Small rodents, lizards, insects, birds, and eggs",,,Can hang suspended on wind currents,9.2 million,Starvation,Hunting behavior of hovering and diving,"Grasshopper hawk, killy hawk, short-winged hawk, windhover, house hawk, and rusty-crowned falcon",,Open countryside,Carnivore,3-7,,Sparrowhawk,15,"North America, most of South America, Europe, Asia, Africa",,,,"Larger birds of prey, snakes, fire ants, and cats",Bird,,,,20-31in,30 days,,,,,,"Natural cavities, other birds' nests, nesting boxes",The next spring (adults molt in the fall),,,,1,,
886,Keta Salmon,"Smaller fish, zooplankton, insects, comb jellies, squid, mollusks, tunicates",,School,"During spawning the look of the male changes. Among other things, he grows a beak called a kype that bears fangs.",in the millions,"Climate change, habitat loss or degradation",The blood red slash down the side of a breeding male,"Chum salmon, dog salmon, silverbrite salmon, white salmon, autumn salmon, damaha fish",3-4 months,"Oceans, estuaries, coastal streams",Carnivore,,,"Chum salmon, keta salmon",1,,,,,"Bears, humans, other fish, shorebirds, killer whales, sea lions, seals, stonefly larvae",fish,,,,,,,,,,,,,,,,,,
887,Key Deer,none,fawn,Solitary,Bucks grow new antlers every year.,700-800,vehicle collisions,small size,toy deer,7 months,"pine rocklands, woodlands, wetlands",Herbivore,,,key deer,1,Florida Keys,,herd,1,"Alligator, Crocodile",,,,,,,,,,,,,,,,,,,
888,Kiko Goat,,kid,,"Kiko goats breed year-round, and they are not good at defending themselves.",,Humans,,,155 days,Farmland,Herbivore,,Herd,Kiko goat,1,"New Zealand, southeastern United States",,Herd,2-3 kids (twins or triplets),"Coyotes, bears, bobcats, foxes, eagles, and mountain lions.",,,"Friendly, docile, independent",,,,,,,,,,,"Grass, hay, and other natural foliage around habitat.",,,,,
889,Killdeer,"Insects, spiders, worms, snails, crayfish, centipedes, and seeds",,,The killdeer feigns injury to draw a predator away from its nest.,Up to 2.3 million mature individuals,Pesticide use and accidents,The black markings around the neck and breast,Chattering plover and noisy plover,,,,,,Killdeer,1,,,,,,Bird,,,,18 - 19 inches,24-28 days,,,,,,On the ground,25 days,,,,1,,
890,Killer Whale,,,Pod,An adult orca eats up to 300 pounds of food each day,,,,,,Ocean and coastal waters worldwide,Carnivore,1,Pod,,,,Typically consumes over 200 kg of food a day!,,,"Human, Larger Sharks",Mammal,,,,,,,,"Seal, Fish, Squid",,,,,Seal,,,,,
891,Kinabalu Giant Red Leech,,,Solitary,Comes out only during a rainstorm or just afterward,Unknown-Not listed on the IUCN Red List of Threatened Species,Habitat loss,Bright reddish orange body,Giant leech,,Soil in the mountains,Carnivore,,,Kinabalu giant red leech,,Borneo,,,,Birds,Insect,,,,,,,,,,,,,,,,,,
892,Kinder Goat,,Kid,Herd,Best jumper of all goats,3000,Predators,Black stripe on back,,140 to 150 days,"Farms, pastures",Herbivore,,,Kinder goat,1,"U.S., Canada and Brazil",,Ungulate,3 or more,,,,,,,,,,,,,,,,,,,,
893,King Cobra,"Lizards, birds, other snakes",Hatchlings,,They are the longest venomous snake in the world.,Unknown,"Poaching, habitat loss",An expanding hood,hamadryad,66-105 days,"Forest, shrublands, wetlands",Carnivore,,Diurnal,King Cobra,20,South and southeast Asia,,Solitary,21 to 40 eggs,,Reptile,,,,,,,,,,,,,,,,,,
894,King Crab,,,,,,,,,,Cold coastal waters and continental shelves,Carnivore,7,Solitary,,,,Can have a leg span of nearly 2 meters!,,,"Human, Larger Fish, Octopus",Crustacean,,,,,,,,"Molluscs, Fish, Sea Urchin",,,,,Molluscs,,,,,
895,King Penguin,,,,,,,,,,Rocky Antarctic Islands,Carnivore,1,Colony,,,,More than 2 million breeding pairs!,,,"Leopard Seal, Killer Whale, Sharks",Bird,Large body size with yellow markings on head,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,,,
896,King Rat Snake,"Rodents, frogs, birds, eggs, lizards, and other snakes",,,"When threatened or frightened, the king rat snake has the ability to produce a foul-smelling substance out of self defense.",,,,,,,Carnivore,8-14 eggs,,King rat snake or Taiwan stink snake,,,,,,,,,,,,,,,,,,,,,,,,,
897,King Shepherd,,,,This hybrid breed is the largest among the shepherd class.,,,,,,,Omnivore,,,,,,,,,,,,Hard-working and loyal,,,,,,,,,,,,,,,,
898,King Snake,,,,King Snakes eat other types of snakes.,,,,,,,Carnivore,3-29 eggs,,Kingsnake,,,,,,,,,,,,,,,,,,,,,,,,,
899,King Vulture,,,,The king vulture is the second largest New World vulture species,"10,000",Habitat loss,,,,"Forests, savannas, and grasslands",Omnivore,,,King Vulture,1,Central and South America,,,,Cats and snakes,Bird,,,,1.8-2m (70-78in),50-60 days,,1,,,,Hollow tree cavities,4-18 months,,,,,,
900,Kingfisher,,,,The kingfisher digs burrows into the ground,,,,,,Lowland freshwater areas and river estuaries,Omnivore,,Solitary,,,,Inhabits wetlands and woodlands worldwide!,,,"Foxes, Snakes, Raccoons",Bird,"Small body and long, sharp and straight beaks",,,Up to 2 feet,2 to 4 weeks,,4,"Fish, Shrimp, Insects, Tadpoles",,,Burrows,3 to 8 weeks,Fish,,,1,,
901,Kinkajou,,,Group,The kinkajou is a nimble forest-dwelling mammal of Central and South America.,Deforestation,,"Long prehensile tail, which acts as a sort of third limb that can grip objects or branches.",,,,Omnivore,,,,,Central and South America,,,1,Humans,Mammal,,,,,,,,"Fruit, small mammals or insects",,,,,,,,,,
902,Kirtland’s snake,"Earthworms, slugs, small reptiles, and frogs",,,It is considered to be the least aquatic of water snakes.,,,,,,,Carnivore,,,Kirtland’s Water Snake,,,,,,,,,,,,,,,,,,,,,,,,,
903,Kishu,,Puppy,,"Once raised to hunt dangerous game like boar, today's kishu ken are more likely to be used as guard dogs.",,,,Kishu-Ken and Kishu-Inu,,,Omnivore,,,Kishu,,,,,2-5 puppies,,Mammal,,Loyal and earnest,,,,,,,,,,,,Japan,,,,
904,Kit Fox,"kangaroo rat, cottontail, jackrabbit, reptiles, insects, birds",pup,Solitary,The kit fox is the smallest canid in North America.,,"habitat destruction, competition from coyotes",tiny bodies and enormous ears,,49 - 55 days,"desert, grasslands",Omnivore,,,kit fox,1,"Southwest United States, North and Central Mexico",,solitary,one to seven pups,"coyotes, bobcats, red foxes, birds of prey",mammal,,,,,,,,,,,,,,,,,,
905,Kiwi,,,,"The kiwi has a finely developed sense of smell, which is rare in birds",,,,,,Forests and dense woodland,Omnivore,,Solitary,,,,Only found in the forests of New Zealand!,,,"Foxes, Dogs, Cats",Bird,"Round body and long, sharp and straight beaks",,,An inch per wing,75 to 85 days,,2,"Worms, Spiders, Insects, Fruit",,,Burrows in the ground,Shortly after birth,Worms,,,,,
906,Koala,Eucalyptus leaves,Joey,Solitary,Spends up to 80% of the time sleeping or resting!,Stable,Habitat loss and disease,"Large, wide head and tufted, round ears",Koala Bear,35 days,"Eucalyptus, inland and coastal forests",Herbivore,1,Nocturnal,Koala,3,south-eastern Australia,Spends up to 80% of the time sleeping or resting!,Mammal,,"Birds of Prey, Dingo, Human",,,,,,,,,,,,,,,,,,,
907,Kodkod,"Rodents, birds, reptiles, and insects",Kittens,Solitary,The kodkod is among the smallest species of cats in the entire world,"6,000-92,000 mature individuals",Habitat loss,The black spots and stripes all over the body,"Güiña, guigna, or Chilean cat",72-78 days,Mountain or coastal forests,Carnivore,,,Kodkod,1,Chile and Argentina,,,1-4 kittens,,Mammal,,,,,,,,,,,,,,,,,,
908,Koi Fish,"Aquatic insects and their larvae, crustaceans, worms, its own young",,School,"In Japanese, the word koi sounds like the word for love. So the fish is a symbol of love among other good things.","Hundreds of thousands, at least",None,Its beauty,"Nishikigoi, koi carp",Four to seven days,Private and public bodies of fresh water,Omnivore,,,Koi fish,1,,,,,"Wading birds such as herons, small mammalian carnivores",Fish,,,,,,,,,,,,,,,7.0 to 8.5,,,
909,Komodo Dragon,"Pigs, Deer, Water Buffalo",Pup,Solitary,Only found on five Indonesian islands!,"3,000 - 5,000",Hunting and habitat loss,Long and deep forked tongue to taste the air,Komodo Monitor,,Open woodland and hillsides,Carnivore,20,Diurnal,Komodo Dragon,1,Komodo National Park,Only found on five Indonesian islands,Reptile,,,,,,,,8 -9 months,,,,On hatching,,,,,,,,,
910,Kooikerhondje,,,,"If Kooikerhondjes look familiar, it’s because old Dutch masters like Rembrandt and Jan Steen liked to paint them.",,,,,,,Omnivore,,,,,,,,,,,,"Affable, alert, cheerful",,,,,,,,,,,,,,,,
911,Kookaburra,"insects, reptiles, crustaceans, small birds, rodents, frogs",,,The laughing kookaburra is one of four kookaburra species.,unknown,habitat loss,laugh-like sound,"laughing kookaburra, bushman's alarm clock",,"woodlands, wetlands",Carnivore,,,kookaburra,4,"Australia, New Zealand, Tasmania, New Guinea",,,,"birds of prey, large reptiles, quolls, foxes, pet cats, humans",bird,,,,64cm-66cm (25in-26in),25-29 days,,,,,,trees,,,,,,,
912,Koolie,,,,"The name ""koolie"" comes from the German mispronunciation of ""collie.""",,,,,,,Omnivore,,,,,,,,,,,,"Quiet, energetic",,,,,,,,,,,,,,,,
913,Kori Bustard,"Insects, small mammals, mollusks, lizards, bird eggs, nestlings, carrion",,,"It's easily identified by its crest, large size, and wingspan",Unknown,"Livestock farming and ranching, hunting and trapping, service and utility lines",Crest,"Christmas turkey, Kalahari Kentucky",,Open grasslands,Omnivore,,,Kori bustard,2,Africa,,,,"Ground-dwelling predatory, carnivorous or omnivorous mammals, birds of prey",Bird,,,,5ft 10in-7ft 3in,23-24 days,,2,,,,Open savanna,,,,,,,
914,Krait,"Other snakes, lizards, rodents, fish",,,A painless bite that can result in death.,,,,,,,Carnivore,2 to 14,,"Krait, Common krait, blue krait",,,,,,,,,,,,,,,,,,,,,,,,,
915,Krill,Plankton,,Swarm,The krill is perhaps the most important animal in the marine ecosystem!,Trillions,Changing climate and habitat,The bioluminescent body,,A few days,Coastal and deep ocean regions,Omnivore,,,Krill,,,,,,"Whales, seals, birds, fish, and humans",Crustacean,,,,,,,,,,,,,"Both plants and animals, depending on the species",,,,,
916,Kudu,,,,,,,,,,Shrub woodland and savanna plains,Herbivore,1,Herd,,,,Lives in herds of up to 24 individuals!,,,"Lions, Leopards, Wild Dogs",Mammal,,,,,,,,"Leaves, Herbs, Fruit, Flowers",,,,,Leaves,,,,,
917,Kuvasz,,,,Ownership of this dog was once restricted to the Hungarian nobility,,,,,,,Omnivore,,,,,,,,,,,,"Brave, loyal, and fearless",,,,,,,,,,,,,,,,
918,Labahoula,,Puppy,,The AKC does not recognize this breed or the parent breed Catahoula,,,,,,,Omnivore,,,,,,,,4-12 puppies,,,,,,,,,,,,,,,,Louisiana,,,,
919,Labmaraner,,,,Loves to participate in activities.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Labradane,,,,Labradanes can come with both sold-color coats and the more exciting patterns that you typically see on Great Danes.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Labradoodle,,,,,,,,,,,Omnivore,,,Labradoodle,,,Friendly and energetic mix-breed!,Hybrid Dog,,,,,,,,,,,,,,,,,,,,,
922,Labrador Retriever,,,,,,,,,,,Omnivore,,,Labrador Retriever,,,"Well-balanced, friendly and versatile!",Gun Dog,,,,,,,,,,,,,,,,,,,,,
923,Labraheeler,,,,These dogs have medium-sized pendant ears.,,,,,,,Omnivore,,,,,,,,,,,,"Loving, affectionate, and energetic",,,,,,,,,,,,,,,,
924,Ladybug," Insects such as aphids, thrips, caterpillars, beetle larvae, scale insects, spider mites, mealybugs, other ladybirds, greenfly, small insects",Larvae,Solitary,"There are more than 5,000 species worldwide!",At least millions. Conservation status is not evaluated but the insect is not in danger of extinction.,Careless use of insecticides,Its brightly colored and patterned elytra,"Ladybird, lady beetle",Five to eight days,"Gardens, forests, yards, hedgerows, meadows, pastures, abandoned weedy places",Carnivore,,,"Ladybird, ladybug",6000,Worldwide,,,Three to 300 eggs,"Birds, Rodents, Reptiles, Insects, dragonflies, frogs, toads, wasps, spiders, stink bugs, assassin bugs",Insect,,,,,,,,,,,,,Aphids,,,,,
925,Lake Sturgeon,"Worms, insect larvae, leeches, mollusks, amphipods",,Pod,Its skeleton is part cartilage and part bone.,"About 30,000, largest population in Lake Michigan. The fish’s conservation status is least concern.","Pollution, over-harvesting, climate change",Its prehistoric looks,"Rock sturgeon, esturgeon jaune, nameo",six days, Freshwater rivers and lakes with pebbly bottoms,Carnivore,,,Lake sturgeon,1,,,,,"Humans, silver lampreys and sea lampreys",Fish,,,,,,,,,,,,,,,6.0-8.0,,,
926,Lakeland Terrier,,,,These dogs were once used by farmers to keep foxes away from herds of sheep.,,,,,,,Omnivore,,,,,,,,,,,,Smart and lively,,,,,,,,,,,,,,,,
927,LaMancha Goat,,"Buckling, doeling, yearling",Herd,Have tiny ears named “gophers” or “elves”,Unknown,Predators,Tiny ears,American Lamancha,150 days,"Farms, pastures",Herbivore,,,LaMancha Goat,1,U.S.,,Artiodactyl,1 to 3,"Wild dogs, cougars, wolves, raptors",,,,,,,,,,,,,,,,,,,
928,Lamprey,Lake fish,,,Not related to the eel,,Population control methods,"Jawless, round, sucker-like mout",Vampire fish,10 to 13 days,"Rivers, lakes, oceans",Carnivore,,,Lamprey,1,,,,,"Brown trout, walleye",Fish,,,,,,,,,,,,,Feeds on blood,,,,,
929,Lancashire Heeler,,,,The name “heeler” comes from the fact that it nips at the heels of cattle to herd them.,,,"The ""Heeler smile.""",,,,Omnivore,2-5 puppies,,,,,,,,,,,"Intelligent, adaptable, and affectionate.",,,,,,,,,,,,,,,,
930,Lappet-faced Vulture,"Smaller birds, mammals, insects and reptiles",,,Lappet-faced vultures are tidy and wash their heads in a body of water after they’ve eaten,,"Poisoning by humans, loss of prey due to habitat disruption",The “lappets” on its head that give the bird its name,"Nubian vulture, African eared vulture",,"Deserts, dry savannas, dry scrub, mountain slopes, wadis",Carnivore,,,Lappet-Faced Vulture,1,Africa and the Middle East,,,1,Humans,Bird,,,,8.2 to 9.5 feet,Seven to eight weeks,,1,,,,At the top of a tree,125 to 135 days,,,,1,,
931,Lapponian Herder,,puppy,,This breed is also known as the Lapp Reindeer Dog and the Lapsk Vallhund.,,,,,,,Omnivore,,,,,,,,5-8 puppies,,mammal,"long, muscular dog",,,,,,,,,,,,,finlandc,,,,
932,Lawnmower Blenny,Algae,,Mainly solitary,Must be in temperatures of 78 degrees Fahrenheit to breed,Unknown,Bigger fish,"Color-changing body, smooth lips, tentacle-like extremities, fat belly.","Jeweled Rockskipper, algae blenny, banded blenny, banded-jeweled blenny, barred blenny, lineated blenny, lined blenny, painted blenny, sailfin blenny.",Unknown,Rocky substrate,Herbivore,,,Jeweled Blenny,,,,,,Any larger fish,Fish,,,,,,,,,,,,,Algae,,8 – 8.4,,,
933,Lazarus Lizard,Insects,,Solitary,Lazarus Lizards can communicate through chemical and visual signals.,Unknown,"Birds, domestic cats, and snakes.",,"Birds, domestic cats, and snakes.",,"Parks, rock walls, rocky environments, urban settings.",Carnivore,,,European wall lizard,1,"North America, northern Italy, Europe.",,Solitary,2-5 eggs,"Birds, domestic cats, and snakes.",Reptile,,,,,,,,,,,,,,,,,,
934,Leaf-Tailed Gecko,,,,Only found on Madagascar!,,,,,,Dense tropical jungle,Carnivore,,Solitary,,,,Only found on Madagascar!,,,"Owls, Rats, Snakes",Reptile,"Sticky toes and broad, flattened tail",,,,,,3,"Spiders, Insects, Worms",,,,,Spiders,,,,,
935,Leatherback Sea Turtle,"jellyfish, sea squirts","eggs, hatchlings",Solitary except during mating season,They are the largest living turtle and the only sea turtle without a hard shell!,"less than 50,000","Humans, pollution, habitat loss, fishing vessel",Leather-like skin,"Luth, leathery turtle, lute turtle, leatherbacks, leatherback turtle",2 months,moderate to tropical coastal ocean waters,Omnivore,100,,Leatherback Sea Turtle,,"Oceans around the United States (including Hawaii ) , Puerto Rico , Indonesia , Africa",,Ridley,100,"Crabs, racoons",Reptile,Leather-like skin and massive size,,,,,,,Jellyfish,,,Land,,,,,,,
936,Leech,"Fish, insects, mammals",Leech,Solitary,Has 10 pairs of eyes!,Unknown,Predators,Two suckers on one end,,7 to 9 months,Freshwater ponds and lakes,Carnivore,,,Leech,680,Worldwide,,,3 to 100,Fish,Invertebrate,,,,,,,,,,,,,,,,,,
937,Lemming,,,,,,,,,,Arctic tundra and woodland areas,Herbivore,7,Solitary,,,,Does not hibernate during the bitter Arctic winter!,,,"Owls, Foxes, Wolves",Mammal,,,,,,,,"Seeds, Grass, Berries",,,,,Seeds,,,,,
938,Lemur,,,,,,,,,,Dry forest and tropical jungle,Omnivore,3,Group,,,,Natively found on the island of Madagascar!,,,"Hawk, Fossa, Wild dogs",Mammal,,,,,,,,"Fruit, Leaves, Insects",,,,,Fruit,,,,,
939,Leonberger,,puppy,,This dog has been used for pulling carts full of goods.,,,the dog's temperament,,,,Omnivore,6 puppies,,Leonberger,,,,,,,mammal,,gentle and calm,,,,,,,,,,,,Germany,,,,
940,Leopard,"Deer, Warthog, Rodents",Cub,Solitary,Spends much of the time high in the trees!,Stable,Trophy hunting and habitat loss,"Dense patterned fur and long, sharp teeth",Panther,90 - 105 days,"Rainforest, grassland and mountainous regions",Carnivore,3,Nocturnal,Leopard,7,Sub-Saharan Africa and southern Asia,Spends much of the time high in the trees!,Mammal,,,,,,,,,,,,,,,,,,,,,
941,Leopard Cat,,,,,,,,,,Tropical forests,Carnivore,3,Solitary,,,,There are 11 different species!,,,"Leopard, Tiger, Wilddog",Mammal,Webbed toes and spotted fur,,,,,,,"Rodents, Lizards, Insects",,,,,Rodents,,,,,
942,Leopard Frog,,Tadpoles,Largely solitary,They can jump up to three feet,Millions,"Habitat loss, pollution",Leopard-like spots,"Meadow frog, grass frog",70-110 days,"Forest, grassland, wetland",Carnivore,,,Leopard Frog,,From southern Canada through northern South America,,,,"Various, including raccoons, foxes, snakes, birds, frogs, humans",Amphibian,,,,,,,,"Insects, Mollusks, birds, Worms, snakes, frogs",,Up to 6500,,,,,,,,
943,Leopard Gecko,,,Solitary,The first ever domesticated lizard! There are now more than 100 unique color morphs thanks to selective breeding.,,,Lacks sticky foot pads like most gecko species; has fully-functional eyelids; is able to drop its tail as a defense mechanism (autotomy),,,"Arid, rocky deserts and scrublands throughout the Middle East; countries include India, Afghanistan, Pakistan, Nepal, and Iran",Carnivore,,,,,,,,,,Reptile,,,,,,,,,,,,,"Crickets, mealworms, superworms, waxworms, dubia roaches",,,,,
944,Leopard Lizard,"Smaller lizards, insects, rodents, berries, leaves",Juvenile lizard,Solitary,Can jump a distance of two feet to capture prey,Unknown,Habitat loss,Long tail,Long-nosed or blunt-nosed leopard lizard,Two months,"Semiarid plains, scrublands",Omnivore,,,Leopard lizard,3,Southwestern United States and Mexico,,Solitary,2-6 eggs,"Snakes, coyotes, birds",Reptile,,,,,,,,,,,,,,,,,,
945,Leopard Seal,,,,,,,,,,Cold waters of the southern hemisphere,Carnivore,1,Herd,,,,The world's most aggressive seal species!,,,"Human, Sharks, Killer Whale",Mammal,,,,,,,,"Penguin, Fish, Squid",,,,,Penguin,,,,,
946,Leopard Tortoise,,,,,,,,,,Grassland and savannah,Herbivore,,Solitary,,,,The most widely distributed tortoise in Africa!,,,"Cats, Dogs, Humans",Reptile,"Large body size and protective, patterned shell",,,,,,12,"Grasses, Weeds, Flowers",,,,,Grasses,,,,,
947,Lhasa Apso,,,,The Lhasa Apso was often given as a gift in Tibetan culture,,,,,,,Omnivore,,,,,,,,,,,,"Confident, friendly, and comical",,,,,,,,,,,,,,,,
948,Lhasapoo,,,,A Lhasapoo’s coat can be curly like a poodle’s or long and silky like a Lhasa Apso’s.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Liger,"Deer, Wild Boar, Cattle",Cub,Solitary,The offspring of a lion and tiger parents!,Not known,Commercial breeding,Enormous head and body size,,100 days,Do not occur in the natural world,Carnivore,,Diurnal/Nocturnal,Liger,1,Zoos,The offspring of a lion and tiger parents!,Mammal,,,,,,,,,,,,,,,,,,,,,
950,Lion,"Antelope, Warthog, Zebra",Cub,Pride,Lives in small groups called prides!,"23,000",Habitat loss,Long and thick hairy mane of the male around the face,African Lion,110 days,"open woodland, scrub, grassland",Carnivore,3,Diurnal/Nocturnal,Lion,2,sub-Saharan Africa,Lives in small groups called prides!,Mammal,,,,,,,,,,,,,,,,,,,,,
951,Lion’s Mane Jellyfish,"Fish, zooplankton, shrimp, other jellyfish",,Solitary/School,"Though it’s a huge animal, the lifespan of the lion’s mane jellyfish is only a year.","Possibly millions its IUCN conservation status is unevaluated, but not in danger of extinction",Pollution,Its size,"Giant jellyfish, hair jellyfish, hair jellyfish, mane jellyfish, Arctic red jellyfish, sea nettle, sea blubber, winter jellyfish",One day,Cooler ocean waters,Carnivore,,,Lion’s Mane Jellyfish,1,,,,,"Seabirds, sea turtles, anemones, ocean sunfish, larger jellies but only when the jellyfish is a juvenile.",Cnidarian,,,,,,,,,,,,,,,8.1,,,
952,Lionfish,,,,,,,,,,Tropical reefs and rocky crevices,Carnivore,,,Lionfish,,,"Females can release up to 15,000 eggs at a time!",,,"Eels, Frogfish, Scorpion Fish",,Striped body markings with long spines,,,,,,8000,"Fish, Shrimp, Crabs",,,,,Fish,,8.1 - 8.4,,,
953,Little Brown Bat,Insects and spiders,Pups,Colony,The little brown bat uses echolocation to quickly navigate around its environment,Millions,White-nose syndrome,"The large, impressive wings",Little brown myotis or mouse-eared microbat,50-60 days,Forests,Carnivore,,,,1,North America,,,1,"Owls, weasels, snakes, raccoons, fishers, hawks, and domesticated cats",Mammal,,,,,,,,,,,,,,,,,,
954,Little Penguin,,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,The smallest species of penguin!,,,"Leopard Seal, Killer Whale, Sharks",Bird,Small body size with blue/grey feathers,,,,,,,"Krill, Fish, Shrimp",,,,,Krill,,,,,
955,Livyatan,,,,"The Livyatan had 1 to 1.2 foot long, interlocking teeth",,,A large basin in the skull for echolocation and fighting,,,,Carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Lizard,,,,"There are around 5,000 different species!",,,,,,Warm forests and deserts worldwide,Omnivore,18,Solitary,,,,"There are around 5,000 different species!",,,,Reptile,,,,,,,,"Insects, Birds, Small rodents",,,,,Insects,,,,,
957,Lizardfish,"Fish, shrimp, and squid",,Solitary,The lizardfish can camouflage itself against the sandy bottom to avoid predators.,Unknown,Overfishing,The lizard-like head and sharp teeth,Grinners,A few days,Oceans and seas,Carnivore,,,Lizardfish,57,,,,,Larger fish,Ray-finned fish,,,,,,,,,,,,,,,Varies,,,
958,Llama,,,,,,,,,,Mountainous deserts and grasslands,Herbivore,1,Herd,,,,Natively found in the Andes Mountain range!,,,"Human, Puma, Coyote",Mammal,,,,,,,,"Leaves, Grass, Shoots",,,,,Leaves,,,,,
959,Loach,"Worms, other invertebrates",,School,Have sharp spines below their eyes,,"overfishing, habitat destruction",Whiskers,"Clown loach, kuhli loach, hillstream loach",24 hours,Rivers,Omnivore,,,Loach,1249,,,,,,Cobitidae,,,,,,,,,,,,,,,5.0 – 8,,,
960,Lobster,,,,,,,,,,Sea gardens and rocky beds,Carnivore,12,Solitary,,,,Have been known to reach 100 years old!,,,"Human, Eels, Large fish",Arthropod,,,,,,,,"Clams, Mussels, Starfish",,,,,Clams,,,,,
961,Locust,,,Swarm,Each locust can eat its weight in plants each day.,,,,,,,Herbivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Lone Star Tick,Blood,Larvae,Solitary,Only females have the ‘lone star’ marking,,Ingestion by nematodes or mites,Star shaped spot on female’s back,"Northeastern water tick, turkey tick, cricker tick",1-30 days,,Omnivore,,,Turkey tick,1,"North America, Central America, South America",,Arachnid,"5,000 eggs",,Insect,,,,,,,,,,,,,,,,,,
963,Long-Eared Owl,,,,,,,,,,Coniferous forests,Carnivore,,Solitary,,,,Ear tufts make it look bigger!,,,"Eagles, Harks, Foxes",Bird,Long ear-tufts and tan-coloured eye disks,,,86cm - 98cm (34in - 38.5in),,,5,"Rodents, Small birds and reptiles",,,,,,,,,,
964,Long-Haired Rottweiler,,puppy,,Rottweilers have a tendency to snore.,,,,,,,Omnivore,,,long-haired rottweiler,,,,,6-12 puppies,,mammal,,"Loyal, affectionate, confident, and fearless",,,,,,,,,,,,Germany,,,,
965,Long-Tailed Tit,Insects,,,Often hangs upside down while feeding!,,"Freezing weather, predators",Extremely long tail,"Alpine tit, European tit",,"Moorlands, farmlands, town and city gardens",Omnivore,,,Long-tailed tit,17,Asia and Europe,,,6-15,"Falcons, jays, crows",bird,,,,5.5 inches,13-17 days,,10,,,,Fork of a tree branch,14-18 days,,,,,,
966,Longnose Gar,,,,The longnose gar species of the gar family has potentially existed for 100 million years.,Not known,Birds that prey on fish,Long body with a beak-like mouth,The needle nose gar or the Billy gar,7-9 days,"Brackish waters, fresh waters, saline waters (Not salty waters). Found in Texas, Mexico, Florida, Michigan, and Wisconsin",Carnivore,,,Longnose gar,,,,,,Birds that prey on fish,Fish,,,,,,,,"Menhaden, sunfish, and perch",,,,,,,4.8 to 6.4,,,
967,Lorikeet,"Flowers, fruit, nectar, pollen, and insects",,,The lorikeet has a long brush-like tongue with fine hairs on it,Unknown,"Deforestation, hunting, and poaching",The brightly-colored rainbow-like plumage,,,Forests and groves,Omnivore,,,Lorikeet,,Australia and Southeast Asia,,,,Snakes and birds of prey,Bird,,,,About 15-24in,25 days,,2,,,,Hollowed trees,7-8 weeks,,,,,,
968,Lowchen,,,,"This breed is also known as the ""Little Lion Dog"" for their bravery and manes.",,,,,,,Omnivore,,,,,,,,,,,,"Energetic, bold",,,,,,,,,,,,,,,,
969,Lumpfish,"Crustaceans, worms, jellyfish, herring, sand lance, and more",,Solitary,The lumpfish have sticky suction cups on their fins,Unknown,Overfishing,"The lumpy, gelatinous flesh",Lumpsuckers,1-2 months,Atlantic and Pacific Oceans,Carnivore,,,Lumpfish,30,,,,,"Skates, seals, sperm whales, sharks, and orcas",Ray-finned fish,,,,,,,,,,,,,,,Unknown,,,
970,Lungfish,"Worms, crustaceans, insects, amphibians, plants, and other lungfish",,Solitary,The lungfish first evolved almost 400 million years ago.,Unknown,Habitat changes,"Modified lungs for buoyancy, breathing, and waste extraction",Salamander fish,1-2 weeks,"Rivers, lakes, wetlands and streams",Omnivore,,,,6,,,,,Humans,,,,,,,,,,,,,,,,Varies,,,
971,Lynx,,,,,,,,,,Secluded forests and mountainous regions,Carnivore,4,Solitary,,,,Live in dens in rocks and under ledges!,,,"Wolf, Coyote, Human, Cougar",Mammal,,,,,,,,"Hare, Birds, Deer",,,,,Hare,,,,,
